RIESGO_SEGURO,PERDIDAS_NORMALIZADAS,MARCA,ASPIRACION,NUMERO_PUERTAS,ESTILO_CARROCERIA,TRACCION,UBICACION_MOTOR,DISTANCIA_EJES,LARGO,ANCHO,ALTO,PESO_VACIO,TIPO_MOTOR,NUMERO_CILINDROS,TAMANO_MOTOR,SISTEMA_COMBUSTIBLE,DIAMETRO_CILINDRO,CARRERA_PISTON,RELACION_COMPRESION,CABALLOS_FUERZA,RPM_MAXIMAS,CONSUMO_CIUDAD_MPG,CONSUMO_AUTOPISTA_MPG,PRECIO,CONS_CIUDAD_L100,CONS_AUTOPISTA_L100,CATEGORIA_PRECIO,TIPO_COMBUSTIBLE_GAS,TIPO_COMBUSTIBLE_DIESEL
1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,7.580645161290323,6.184210526315789,bajo,0,1
1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,7.580645161290323,6.184210526315789,bajo,0,1
1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474916,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,7.580645161290323,6.184210526315789,bajo,0,1
1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474916,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,7.580645161290323,6.184210526315789,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380,rotor,two,70,4bbl,3.32905,3.2582999999999998,9.4,101.0,6000.0,17,23,10945.0,13.823529411764708,10.217391304347826,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380,rotor,two,70,4bbl,3.32905,3.2582999999999998,9.4,101.0,6000.0,17,23,11845.0,13.823529411764708,10.217391304347826,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2385,rotor,two,70,4bbl,3.32905,3.2582999999999998,9.4,101.0,6000.0,17,23,13645.0,13.823529411764708,10.217391304347826,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2500,rotor,two,80,mpfi,3.32905,3.2582999999999998,9.4,135.0,6000.0,16,23,15645.0,14.6875,10.217391304347826,bajo,0,1
1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,9.038461538461538,7.34375,bajo,0,1
0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,9.038461538461538,7.34375,bajo,0,1
1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,9.038461538461538,7.34375,bajo,0,1
0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,9.038461538461538,7.34375,bajo,0,1
0,122.0,mazda,std,,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,6.527777777777778,5.595238095238095,bajo,1,0
0,115.0,mazda,std,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,9.038461538461538,7.34375,bajo,0,1
0,118.0,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038728,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,12.36842105263158,8.703703703703704,bajo,0,1
0,122.0,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038728,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,7.580645161290323,6.0256410256410255,bajo,1,0
-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,0.9723374827109268,0.9448160535117056,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,10.681818181818182,9.4,medio,1,0
-1,93.0,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,0.9723374827109268,0.9816053511705688,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,10.681818181818182,9.4,medio,1,0
0,93.0,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.9010091302258528,0.9723374827109268,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,10.681818181818182,9.4,medio,1,0
-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.9735703988467084,0.991701244813278,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,10.681818181818182,9.4,medio,1,0
-1,122.0,mercedes-benz,std,four,sedan,rwd,front,115.6,0.9735703988467084,0.991701244813278,0.9448160535117056,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,14.6875,13.055555555555555,alto,0,1
3,142.0,mercedes-benz,std,two,convertible,rwd,front,96.6,0.8664103796251803,0.975103734439834,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,14.6875,13.055555555555555,alto,0,1
0,122.0,mercedes-benz,std,four,sedan,rwd,front,120.9,1.0,0.991701244813278,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,16.785714285714285,14.6875,alto,0,1
1,122.0,mercedes-benz,std,two,hardtop,rwd,front,112.0,0.957232099951946,0.995850622406639,0.9264214046822744,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,16.785714285714285,14.6875,alto,0,1
1,122.0,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,0.9405255878284924,0.9163879598662208,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,12.36842105263158,9.791666666666666,bajo,0,1
2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,6.351351351351352,5.7317073170731705,bajo,0,1
2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,7.580645161290323,6.184210526315789,bajo,0,1
2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,7.580645161290323,6.184210526315789,bajo,0,1
1,161.0,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8824343015214384,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,9.791666666666666,7.833333333333333,bajo,0,1
3,153.0,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9045643153526972,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,10.217391304347826,7.833333333333333,bajo,0,1
3,153.0,mitsubishi,std,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9045643153526972,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,9.4,7.34375,bajo,0,1
3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,12.36842105263158,9.791666666666666,bajo,0,1
3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,12.36842105263158,9.791666666666666,bajo,0,1
3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,12.36842105263158,9.791666666666666,bajo,0,1
1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,9.4,7.34375,bajo,0,1
1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,9.4,7.34375,bajo,0,1
1,125.0,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,10.217391304347826,7.833333333333333,bajo,0,1
-1,137.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,10.217391304347826,7.833333333333333,bajo,0,1
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,7.580645161290323,6.351351351351352,bajo,0,1
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,5.222222222222222,4.7,bajo,1,0
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,7.580645161290323,6.351351351351352,bajo,0,1
1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,7.580645161290323,6.351351351351352,bajo,0,1
1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8824343015214384,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,7.580645161290323,6.351351351351352,bajo,0,1
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,7.580645161290323,6.351351351351352,bajo,0,1
1,128.0,nissan,std,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8824343015214384,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,7.580645161290323,6.351351351351352,bajo,0,1
1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,7.580645161290323,6.351351351351352,bajo,0,1
1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8824343015214384,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,7.580645161290323,6.351351351351352,bajo,0,1
2,168.0,nissan,std,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8824343015214384,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,7.580645161290323,6.351351351351352,bajo,0,1
0,106.0,nissan,std,four,hatchback,fwd,front,97.2,0.8332532436328689,0.90179806362379,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,8.703703703703704,6.911764705882353,bajo,0,1
0,106.0,nissan,std,four,sedan,fwd,front,97.2,0.8332532436328689,0.90179806362379,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,8.703703703703704,6.911764705882353,bajo,0,1
0,128.0,nissan,std,four,sedan,fwd,front,100.4,0.8731379144641999,0.9197786998616876,0.9214046822742477,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,13.823529411764708,10.681818181818182,bajo,0,1
0,108.0,nissan,std,four,wagon,fwd,front,100.4,0.8870735223450265,0.9197786998616876,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0,13.823529411764708,10.681818181818182,bajo,0,1
0,108.0,nissan,std,four,sedan,fwd,front,100.4,0.8870735223450265,0.9197786998616876,0.9214046822742477,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0,12.36842105263158,9.4,bajo,0,1
3,194.0,nissan,std,two,hatchback,rwd,front,91.3,0.8202787121576165,0.9391424619640388,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199.0,12.36842105263158,9.4,bajo,0,1
3,194.0,nissan,turbo,two,hatchback,rwd,front,91.3,0.8202787121576165,0.9391424619640388,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699.0,13.823529411764708,10.217391304347826,medio,0,1
1,231.0,nissan,std,two,hatchback,rwd,front,99.2,0.857760691975012,0.9391424619640388,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399.0,12.36842105263158,9.4,bajo,0,1
