riesgo_seguro,perdidas_normalizadas,marca,tipo_combustible,aspiracion,numero_puertas,estilo_carroceria,traccion,ubicacion_motor,distancia_ejes,largo,ancho,alto,peso_vacio,tipo_motor,numero_cilindros,tamano_motor,sistema_combustible,diametro_cilindro,carrera_piston,relacion_compresion,caballos_fuerza,rpm_maximas,consumo_ciudad_mpg,consumo_autopista_mpg,precio,largo_norm,ancho_norm,alto_norm,caballos_fuerza_std,consumo_ciudad_L100km,consumo_autopista_L100km,caballos_fuerza_binned,precio_segmento,rango_precio_Bajo,rango_precio_Medio,rango_precio_Alto,tipo_diesel,tipo_nafta,carroceria_convertible,carroceria_hardtop,carroceria_hatchback,carroceria_sedan,carroceria_wagon,traccion_4wd,traccion_fwd,traccion_rwd,motor_ubicacion_front,motor_ubicacion_rear,prediccion_final
0,192.0,bmw,gas,std,4.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925.0,0.849591542527631,0.8999999999999999,0.9080267558528428,-0.0643100034996472,10.217391304347826,8.10344827586207,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,11061.335662061596
0,188.0,bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970.0,0.849591542527631,0.8999999999999999,0.9080267558528428,0.47094095730486907,11.19047619047619,8.392857142857142,Medio,Medio,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,18180.387702519885
0,188.0,bmw,gas,std,4.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105.0,0.849591542527631,0.8999999999999999,0.9080267558528428,0.47094095730486907,11.19047619047619,8.392857142857142,Medio,Medio,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,18361.714840288496
1,122.0,bmw,gas,std,4.0,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565.0,0.9082172032676598,0.9291666666666667,0.931438127090301,0.47094095730486907,11.75,9.4,Medio,Medio,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,19649.789792037514
0,122.0,bmw,gas,std,4.0,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,30760.0,0.9082172032676598,0.9291666666666667,0.931438127090301,2.103456387758644,14.6875,10.681818181818182,Medio,Medio,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,27186.186661763237
0,122.0,bmw,gas,std,2.0,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,41315.0,0.9312830370014417,0.9430555555555556,0.8979933110367894,2.103456387758644,14.6875,10.681818181818182,Medio,Alto,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,27680.715219313995
0,122.0,bmw,gas,std,4.0,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400.0,15,20,36880.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,2.103456387758644,15.666666666666666,11.75,Medio,Alto,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,28673.798563120345
2,121.0,chevrolet,gas,std,2.0,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151.0,0.6780394041326285,0.8374999999999999,0.8896321070234114,-1.4827250496316153,5.0,4.433962264150943,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,-283.5811847169316
1,98.0,chevrolet,gas,std,2.0,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295.0,0.7491590581451226,0.8833333333333333,0.8695652173913044,-0.8939489927466474,6.184210526315789,5.465116279069767,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,4747.342661350525
0,81.0,chevrolet,gas,std,4.0,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575.0,0.7630946660259491,0.8833333333333333,0.8695652173913044,-0.8939489927466474,6.184210526315789,5.465116279069767,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,4862.732658112371
1,118.0,dodge,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,-0.947474088827099,6.351351351351352,5.7317073170731705,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,4817.747840895718
1,118.0,dodge,gas,std,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,5547.133844400723
1,118.0,dodge,gas,turbo,2.0,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,-0.03754745545942139,9.791666666666666,7.833333333333333,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,9026.588334984805
1,148.0,dodge,gas,std,4.0,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229.0,0.7558865929841423,0.8861111111111111,0.8461538461538463,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,5847.1478359815155
1,148.0,dodge,gas,std,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692.0,0.7558865929841423,0.8861111111111111,0.8461538461538463,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,5919.6786910889605
1,148.0,dodge,gas,std,4.0,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609.0,0.7558865929841423,0.8861111111111111,0.8461538461538463,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,5919.6786910889605
1,148.0,dodge,gas,turbo,3.135678391959799,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558.0,0.7558865929841423,0.8861111111111111,0.8461538461538463,-0.03754745545942139,9.791666666666666,7.833333333333333,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,9234.29032915612
-1,110.0,dodge,gas,std,4.0,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921.0,0.8390197020663143,0.8972222222222221,1.0,-0.41222312802258276,9.791666666666666,7.833333333333333,Bajo,Bajo,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,12327.855950222507
3,145.0,dodge,gas,turbo,2.0,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964.0,0.8322921672272945,0.9208333333333333,0.8394648829431439,1.1132421102702885,12.368421052631579,9.791666666666666,Medio,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,18900.947990478573
2,137.0,honda,gas,std,2.0,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479.0,0.6948582412301778,0.8875,0.8494983277591973,-1.2150995692293571,4.795918367346939,4.351851851851852,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,3364.579945250978
2,137.0,honda,gas,std,2.0,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855.0,0.6948582412301778,0.8875,0.8494983277591973,-0.7333737045052926,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,5684.564318822675
1,101.0,honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399.0,0.7208073041806824,0.8888888888888888,0.8795986622073579,-1.1615744731489055,6.184210526315789,5.595238095238095,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,3437.037111080066
1,101.0,honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529.0,0.7208073041806824,0.8888888888888888,0.8795986622073579,-0.7333737045052926,7.833333333333333,6.911764705882353,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,6233.413367078538
1,101.0,honda,gas,std,2.0,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129.0,0.7208073041806824,0.8888888888888888,0.8795986622073579,-0.7333737045052926,7.833333333333333,6.911764705882353,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,6286.163079883951
0,110.0,honda,gas,std,4.0,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295.0,0.7851994233541567,0.8888888888888888,0.911371237458194,-0.7333737045052926,7.833333333333333,6.911764705882353,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,6464.193360602225
0,78.0,honda,gas,std,4.0,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295.0,0.754925516578568,0.8875,0.9749163879598662,-0.7333737045052926,7.833333333333333,6.911764705882353,Bajo,Bajo,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,6510.349359306962
0,106.0,honda,gas,std,2.0,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895.0,0.8049014896684287,0.9055555555555556,0.8913043478260869,-0.4657482241030344,8.703703703703704,7.121212121212121,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,9557.725695847046
0,106.0,honda,gas,std,2.0,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095.0,0.8049014896684287,0.9055555555555556,0.8913043478260869,-0.4657482241030344,8.703703703703704,7.121212121212121,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,9732.45911951498
0,85.0,honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845.0,0.8428640076886112,0.9055555555555556,0.9046822742474917,-0.4657482241030344,8.703703703703704,7.121212121212121,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,9781.911975270057
0,85.0,honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295.0,0.8428640076886112,0.8680555555555556,0.9046822742474917,-0.4657482241030344,8.703703703703704,7.121212121212121,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,10006.098254693068
0,85.0,honda,gas,std,4.0,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945.0,0.8428640076886112,0.9055555555555556,0.9046822742474917,-0.0643100034996472,9.791666666666666,8.392857142857142,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,11223.430874446276
1,107.0,honda,gas,std,2.0,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345.0,0.8125901009130225,0.9166666666666666,0.8528428093645485,-0.09107255153987302,9.4,7.580645161290323,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,10406.301257512048
0,122.0,isuzu,gas,std,4.0,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800.0,24,29,6785.0,0.8202787121576165,0.8583333333333333,0.8946488294314382,-0.679848608424841,9.791666666666666,8.10344827586207,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,10486.756414847561
2,122.0,isuzu,gas,std,2.0,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,4,119,spfi,3.43,3.23,9.2,90,5000.0,24,29,11048.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,-0.3586980319421312,9.791666666666666,8.10344827586207,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,12743.419583588697
0,145.0,jaguar,gas,std,4.0,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,32250.0,0.9591542527630946,0.9666666666666666,0.882943143812709,1.942881099517289,15.666666666666666,12.368421052631579,Medio,Alto,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,34923.13956987311
0,122.0,jaguar,gas,std,4.0,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,35550.0,0.9591542527630946,0.9666666666666666,0.882943143812709,1.942881099517289,15.666666666666666,12.368421052631579,Medio,Alto,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,34923.13956987311
0,122.0,jaguar,gas,std,2.0,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000.0,13,17,36000.0,0.921191734742912,0.9805555555555555,0.7993311036789298,4.244460230976708,18.076923076923077,13.823529411764707,Alto,Alto,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,43744.31675398239
1,104.0,mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195.0,0.7645362806343105,0.8916666666666667,0.9046822742474917,-0.947474088827099,7.833333333333333,7.580645161290323,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,5835.175974334365
1,104.0,mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095.0,0.7645362806343105,0.8916666666666667,0.9046822742474917,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,5718.215199672832
1,104.0,mazda,gas,std,2.0,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795.0,0.7645362806343105,0.8916666666666667,0.9046822742474917,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,5734.699484924524
1,113.0,mazda,gas,std,4.0,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695.0,0.8015377222489188,0.8916666666666667,0.9046822742474917,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,5866.573766938058
1,113.0,mazda,gas,std,4.0,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395.0,0.8015377222489188,0.8916666666666667,0.9046822742474917,-0.947474088827099,7.580645161290323,6.184210526315789,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,5883.05805218975
3,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,23,10945.0,0.8121095627102355,0.9125000000000001,0.8294314381270904,-0.0643100034996472,13.823529411764707,10.217391304347826,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,9657.18157531296
3,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,23,11845.0,0.8121095627102355,0.9125000000000001,0.8294314381270904,-0.0643100034996472,13.823529411764707,10.217391304347826,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,9657.18157531296
3,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,2,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,23,13645.0,0.8121095627102355,0.9125000000000001,0.8294314381270904,-0.0643100034996472,13.823529411764707,10.217391304347826,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,9673.665860564648
3,150.0,mazda,gas,std,2.0,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,2,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135,6000.0,16,23,15645.0,0.8121095627102355,0.9125000000000001,0.8294314381270904,0.8456166298680304,14.6875,10.217391304347826,Medio,Bajo,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,12086.108807052664
1,129.0,mazda,gas,std,2.0,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845.0,0.8543969245555022,0.9236111111111112,0.8979933110367894,-0.519273320183486,9.038461538461538,7.34375,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,11315.703736733147
0,115.0,mazda,gas,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495.0,0.8543969245555022,0.9236111111111112,0.9280936454849499,-0.519273320183486,9.038461538461538,7.34375,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,11398.125162991611
1,129.0,mazda,gas,std,2.0,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595.0,0.8543969245555022,0.9236111111111112,0.8979933110367894,-0.519273320183486,9.038461538461538,7.34375,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,11315.703736733147
0,115.0,mazda,gas,std,4.0,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245.0,0.8543969245555022,0.9236111111111112,0.9280936454849499,-0.519273320183486,9.038461538461538,7.34375,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,11398.125162991611
0,122.0,mazda,diesel,std,3.135678391959799,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,3.39,3.39,22.7,64,4650.0,36,42,10795.0,0.8543969245555022,0.9236111111111112,0.9280936454849499,-1.0545242809880022,6.527777777777778,5.595238095238095,Bajo,Bajo,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,9663.644464054723
0,115.0,mazda,gas,std,4.0,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245.0,0.8543969245555022,0.9236111111111112,0.9280936454849499,-0.519273320183486,9.038461538461538,7.34375,Bajo,Bajo,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,11447.578018746684
0,118.0,mazda,gas,std,4.0,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280.0,0.8409418548774628,0.9180555555555555,0.9096989966555185,0.44417840926464325,12.368421052631579,8.703703703703704,Medio,Bajo,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,16522.789587596857
0,122.0,mazda,diesel,std,4.0,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22.0,72,4200.0,31,39,18344.0,0.8409418548774628,0.9180555555555555,0.9096989966555185,-0.8404238966661958,7.580645161290323,6.0256410256410255,Bajo,Bajo,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,12380.561517776623
-1,93.0,mercedes-benz,diesel,turbo,4.0,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350.0,22,25,25552.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,0.5244660533853207,10.681818181818182,9.4,Medio,Medio,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,22315.090177116235
-1,93.0,mercedes-benz,diesel,turbo,4.0,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28248.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,0.5244660533853207,10.681818181818182,9.4,Medio,Medio,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,23089.851583945758
0,93.0,mercedes-benz,diesel,turbo,2.0,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28176.0,0.9010091302258529,0.9763888888888889,0.9180602006688964,0.5244660533853207,10.681818181818182,9.4,Medio,Medio,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,22249.153036109466
-1,93.0,mercedes-benz,diesel,turbo,4.0,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350.0,22,25,31600.0,0.9735703988467083,0.9958333333333333,0.9414715719063546,0.5244660533853207,10.681818181818182,9.4,Medio,Medio,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,23155.788724952527
-1,122.0,mercedes-benz,gas,std,4.0,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,34184.0,0.9735703988467083,0.9958333333333333,0.9448160535117057,1.3808675906725467,14.6875,13.055555555555555,Medio,Alto,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,30689.150988734476
